agent;timestep;position;direction;status;given_command
0;0;None;w;waiting;wait
1;0;None;w;waiting;wait
2;0;None;e;waiting;wait
3;0;None;s;waiting;wait
4;0;None;s;waiting;wait
5;0;None;e;waiting;wait
6;0;None;s;waiting;wait
7;0;None;w;waiting;wait
8;0;None;s;waiting;wait
9;0;None;e;waiting;wait
0;1;None;w;waiting;wait
1;1;None;w;waiting;wait
2;1;None;e;waiting;wait
3;1;None;s;waiting;wait
4;1;None;s;waiting;wait
5;1;None;e;waiting;wait
6;1;None;s;waiting;wait
7;1;None;w;waiting;wait
8;1;None;s;waiting;wait
9;1;None;e;waiting;wait
0;2;None;w;waiting;wait
1;2;None;w;waiting;wait
2;2;None;e;waiting;wait
3;2;None;s;waiting;wait
4;2;None;s;waiting;wait
5;2;None;e;waiting;wait
6;2;None;s;waiting;wait
7;2;None;w;waiting;wait
8;2;None;s;waiting;wait
9;2;None;e;waiting;wait
0;3;None;w;waiting;wait
1;3;None;w;waiting;wait
2;3;None;e;waiting;wait
3;3;None;s;waiting;wait
4;3;None;s;waiting;wait
5;3;None;e;waiting;wait
6;3;None;s;waiting;wait
7;3;None;w;waiting;wait
8;3;None;s;waiting;wait
9;3;None;e;waiting;wait
0;4;None;w;waiting;wait
1;4;None;w;waiting;wait
2;4;None;e;waiting;wait
3;4;None;s;waiting;wait
4;4;None;s;waiting;wait
5;4;None;e;waiting;wait
6;4;None;s;waiting;wait
7;4;None;w;waiting;wait
8;4;None;s;waiting;wait
9;4;None;e;waiting;wait
0;5;None;w;waiting;wait
1;5;None;w;waiting;wait
2;5;None;e;waiting;wait
3;5;None;s;waiting;wait
4;5;None;s;waiting;wait
5;5;None;e;waiting;wait
6;5;None;s;waiting;wait
7;5;None;w;waiting;wait
8;5;None;s;waiting;wait
9;5;None;e;waiting;wait
0;6;None;w;waiting;wait
1;6;None;w;waiting;wait
2;6;None;e;waiting;wait
3;6;None;s;waiting;wait
4;6;None;s;waiting;wait
5;6;None;e;waiting;wait
6;6;None;s;waiting;wait
7;6;None;w;waiting;wait
8;6;None;s;waiting;wait
9;6;None;e;waiting;wait
0;7;None;w;waiting;wait
1;7;None;w;waiting;wait
2;7;None;e;waiting;wait
3;7;None;s;waiting;wait
4;7;None;s;waiting;wait
5;7;None;e;waiting;wait
6;7;None;s;waiting;wait
7;7;None;w;waiting;wait
8;7;None;s;waiting;wait
9;7;None;e;waiting;wait
0;8;None;w;waiting;wait
1;8;None;w;waiting;wait
2;8;None;e;waiting;wait
3;8;None;s;waiting;wait
4;8;None;s;waiting;wait
5;8;None;e;waiting;wait
6;8;None;s;waiting;wait
7;8;None;w;waiting;wait
8;8;None;s;waiting;wait
9;8;None;e;waiting;wait
0;9;None;w;waiting;wait
1;9;None;w;waiting;wait
2;9;None;e;waiting;wait
3;9;None;s;waiting;wait
4;9;None;s;waiting;wait
5;9;None;e;waiting;wait
6;9;None;s;waiting;wait
7;9;None;w;waiting;wait
8;9;None;s;waiting;wait
9;9;None;e;waiting;wait
0;10;None;w;waiting;wait
1;10;None;w;waiting;wait
2;10;None;e;waiting;wait
3;10;None;s;waiting;wait
4;10;None;s;waiting;wait
5;10;None;e;waiting;wait
6;10;None;s;waiting;wait
7;10;None;w;waiting;wait
8;10;None;s;waiting;wait
9;10;None;e;waiting;wait
0;11;None;w;waiting;wait
1;11;None;w;waiting;wait
2;11;None;e;ready to depart;move_forward
3;11;None;s;waiting;wait
4;11;None;s;waiting;wait
5;11;None;e;waiting;wait
6;11;None;s;waiting;wait
7;11;None;w;waiting;wait
8;11;None;s;waiting;wait
9;11;None;e;waiting;wait
0;12;None;w;waiting;wait
1;12;None;w;waiting;wait
2;12;(19, 35);e;moving;move_forward
3;12;None;s;waiting;wait
4;12;None;s;waiting;wait
5;12;None;e;ready to depart;move_forward
6;12;None;s;waiting;wait
7;12;None;w;waiting;wait
8;12;None;s;waiting;wait
9;12;None;e;waiting;wait
0;13;None;w;waiting;wait
1;13;None;w;waiting;wait
2;13;(19, 36);e;moving;move_forward
3;13;None;s;waiting;wait
4;13;None;s;waiting;wait
5;13;(7, 31);e;moving;move_forward
6;13;None;s;waiting;wait
7;13;None;w;waiting;wait
8;13;None;s;waiting;wait
9;13;None;e;waiting;wait
0;14;None;w;waiting;wait
1;14;None;w;waiting;wait
2;14;(19, 37);e;moving;move_forward
3;14;None;s;waiting;wait
4;14;None;s;waiting;wait
5;14;(7, 32);e;moving;move_right
6;14;None;s;waiting;wait
7;14;None;w;waiting;wait
8;14;None;s;waiting;wait
9;14;None;e;waiting;wait
0;15;None;w;waiting;wait
1;15;None;w;waiting;wait
2;15;(19, 38);e;moving;move_forward
3;15;None;s;waiting;wait
4;15;None;s;waiting;wait
5;15;(8, 32);s;moving;move_forward
6;15;None;s;waiting;wait
7;15;None;w;waiting;wait
8;15;None;s;waiting;wait
9;15;None;e;ready to depart;move_forward
0;16;None;w;waiting;wait
1;16;None;w;waiting;wait
2;16;(19, 39);e;moving;move_forward
3;16;None;s;waiting;wait
4;16;None;s;waiting;wait
5;16;(8, 33);e;moving;move_forward
6;16;None;s;waiting;wait
7;16;None;w;waiting;wait
8;16;None;s;waiting;wait
9;16;(18, 5);e;moving;move_forward
0;17;None;w;waiting;wait
1;17;None;w;waiting;wait
2;17;(18, 39);n;moving;move_forward
