agent;timestep;position;direction;status;given_command
0;0;None;w;waiting;wait
1;0;None;w;waiting;wait
2;0;None;s;waiting;wait
3;0;None;w;waiting;wait
4;0;None;n;waiting;wait
5;0;None;s;waiting;wait
0;1;None;w;waiting;wait
1;1;None;w;waiting;wait
2;1;None;s;waiting;wait
3;1;None;w;waiting;wait
4;1;None;n;waiting;wait
5;1;None;s;waiting;wait
0;2;None;w;waiting;wait
1;2;None;w;waiting;wait
2;2;None;s;waiting;wait
3;2;None;w;waiting;wait
4;2;None;n;waiting;wait
5;2;None;s;waiting;wait
0;3;None;w;waiting;wait
1;3;None;w;waiting;wait
2;3;None;s;waiting;wait
3;3;None;w;waiting;wait
4;3;None;n;waiting;wait
5;3;None;s;waiting;wait
0;4;None;w;waiting;wait
1;4;None;w;waiting;wait
2;4;None;s;waiting;wait
3;4;None;w;waiting;wait
4;4;None;n;waiting;wait
5;4;None;s;waiting;wait
0;5;None;w;waiting;wait
1;5;None;w;waiting;wait
2;5;None;s;waiting;wait
3;5;None;w;waiting;wait
4;5;None;n;waiting;wait
5;5;None;s;waiting;wait
0;6;None;w;waiting;wait
1;6;None;w;waiting;wait
2;6;None;s;waiting;wait
3;6;None;w;waiting;wait
4;6;None;n;waiting;wait
5;6;None;s;waiting;wait
0;7;None;w;waiting;wait
1;7;None;w;ready to depart;move_forward
2;7;None;s;waiting;wait
3;7;None;w;waiting;wait
4;7;None;n;waiting;wait
5;7;None;s;waiting;wait
0;8;None;w;waiting;wait
1;8;(11, 25);w;moving;move_forward
2;8;None;s;waiting;wait
3;8;None;w;waiting;wait
4;8;None;n;waiting;wait
5;8;None;s;waiting;wait
0;9;None;w;waiting;wait
1;9;(11, 24);w;moving;move_forward
2;9;None;s;waiting;wait
3;9;None;w;waiting;wait
4;9;None;n;waiting;wait
5;9;None;s;waiting;wait
0;10;None;w;waiting;wait
1;10;(11, 23);w;moving;move_forward
2;10;None;s;waiting;wait
3;10;None;w;waiting;wait
4;10;None;n;waiting;wait
5;10;None;s;waiting;wait
0;11;None;w;waiting;wait
1;11;(11, 22);w;moving;move_forward
2;11;None;s;waiting;wait
3;11;None;w;waiting;wait
4;11;None;n;waiting;wait
5;11;None;s;waiting;wait
0;12;None;w;waiting;wait
1;12;(11, 21);w;moving;move_forward
2;12;None;s;waiting;wait
3;12;None;w;waiting;wait
4;12;None;n;waiting;wait
5;12;None;s;waiting;wait
0;13;None;w;waiting;wait
1;13;(11, 20);w;moving;move_forward
2;13;None;s;waiting;wait
3;13;None;w;waiting;wait
4;13;None;n;waiting;wait
5;13;None;s;waiting;wait
0;14;None;w;waiting;wait
1;14;(11, 19);w;moving;move_forward
2;14;None;s;waiting;wait
3;14;None;w;waiting;wait
4;14;None;n;waiting;wait
5;14;None;s;waiting;wait
0;15;None;w;waiting;wait
1;15;(11, 18);w;moving;move_forward
2;15;None;s;waiting;wait
3;15;None;w;waiting;wait
4;15;None;n;ready to depart;move_forward
5;15;None;s;waiting;wait
0;16;None;w;waiting;wait
1;16;(11, 17);w;moving;move_forward
2;16;None;s;waiting;wait
3;16;None;w;waiting;wait
4;16;(44, 39);n;moving;move_forward
5;16;None;s;waiting;wait
0;17;None;w;waiting;wait
1;17;(11, 16);w;moving;move_forward
2;17;None;s;waiting;wait
3;17;None;w;waiting;wait
4;17;(43, 39);n;moving;move_forward
5;17;None;s;waiting;wait
0;18;None;w;waiting;wait
1;18;(11, 15);w;moving;move_forward
2;18;None;s;waiting;wait
3;18;None;w;waiting;wait
4;18;(42, 39);n;moving;move_forward
5;18;None;s;waiting;wait
0;19;None;w;waiting;wait
1;19;(11, 14);w;moving;move_forward
2;19;None;s;waiting;wait
3;19;None;w;waiting;wait
4;19;(41, 39);n;moving;move_forward
5;19;None;s;waiting;wait
0;20;None;w;waiting;wait
1;20;(11, 13);w;moving;move_forward
2;20;None;s;waiting;wait
3;20;None;w;waiting;wait
4;20;(40, 39);n;moving;move_left
5;20;None;s;waiting;wait
0;21;None;w;waiting;wait
1;21;(10, 13);n;moving;move_forward
2;21;None;s;waiting;wait
3;21;None;w;waiting;wait
4;21;(40, 38);w;moving;move_forward
5;21;None;s;waiting;wait
0;22;None;w;waiting;wait
1;22;(9, 13);n;moving;move_forward
2;22;None;s;waiting;wait
3;22;None;w;waiting;wait
4;22;(40, 37);w;moving;move_forward
5;22;None;s;waiting;wait
0;23;None;w;waiting;wait
1;23;(8, 13);n;moving;move_forward
2;23;None;s;waiting;wait
3;23;None;w;waiting;wait
4;23;(40, 36);w;moving;move_forward
5;23;None;s;waiting;wait
0;24;None;w;waiting;wait
1;24;(7, 13);n;moving;move_forward
2;24;None;s;waiting;wait
3;24;None;w;waiting;wait
4;24;(40, 35);w;moving;move_forward
5;24;None;s;waiting;wait
0;25;None;w;waiting;wait
1;25;(7, 12);w;moving;move_forward
2;25;None;s;waiting;wait
3;25;None;w;waiting;wait
4;25;(40, 34);w;moving;move_forward
5;25;None;s;waiting;wait
0;26;None;w;waiting;wait
1;26;(7, 11);w;moving;move_forward
2;26;None;s;ready to depart;move_forward
3;26;None;w;waiting;wait
4;26;(40, 33);w;moving;move_forward
5;26;None;s;waiting;wait
0;27;None;w;waiting;wait
1;27;(7, 10);w;moving;move_forward
2;27;(18, 44);s;moving;move_forward
3;27;None;w;waiting;wait
