agent;timestep;position;direction;status;given_command
0;0;None;e;waiting;wait
1;0;None;n;waiting;wait
2;0;None;s;waiting;wait
3;0;None;e;waiting;wait
4;0;None;n;waiting;wait
5;0;None;e;waiting;wait
6;0;None;s;waiting;wait
7;0;None;w;waiting;wait
8;0;None;w;waiting;wait
9;0;None;n;waiting;wait
0;1;None;e;waiting;wait
1;1;None;n;waiting;wait
2;1;None;s;waiting;wait
3;1;None;e;ready to depart;move_forward
4;1;None;n;waiting;wait
5;1;None;e;ready to depart;move_forward
6;1;None;s;waiting;wait
7;1;None;w;waiting;wait
8;1;None;w;waiting;wait
9;1;None;n;waiting;wait
0;2;None;e;waiting;wait
1;2;None;n;waiting;wait
2;2;None;s;waiting;wait
3;2;(5, 20);e;moving;move_forward
4;2;None;n;waiting;wait
5;2;(11, 11);e;moving;move_forward
6;2;None;s;waiting;wait
7;2;None;w;waiting;wait
8;2;None;w;waiting;wait
9;2;None;n;waiting;wait
0;3;None;e;waiting;wait
1;3;None;n;waiting;wait
2;3;None;s;waiting;wait
3;3;(5, 21);e;moving;move_right
4;3;None;n;waiting;wait
5;3;(11, 12);e;moving;move_right
6;3;None;s;waiting;wait
7;3;None;w;waiting;wait
8;3;None;w;waiting;wait
9;3;None;n;waiting;wait
0;4;None;e;waiting;wait
1;4;None;n;waiting;wait
2;4;None;s;waiting;wait
3;4;(6, 21);s;moving;move_forward
4;4;None;n;waiting;wait
5;4;(12, 12);s;moving;move_forward
6;4;None;s;waiting;wait
7;4;None;w;waiting;wait
8;4;None;w;waiting;wait
9;4;None;n;waiting;wait
0;5;None;e;ready to depart;move_forward
1;5;None;n;waiting;wait
2;5;None;s;waiting;wait
3;5;(6, 22);e;moving;move_forward
4;5;None;n;waiting;wait
5;5;(12, 13);e;moving;move_forward
6;5;None;s;waiting;wait
7;5;None;w;waiting;wait
8;5;None;w;waiting;wait
9;5;None;n;waiting;wait
0;6;(11, 11);e;moving;move_forward
1;6;None;n;waiting;wait
2;6;None;s;waiting;wait
3;6;(5, 22);n;moving;move_forward
4;6;None;n;waiting;wait
5;6;(11, 13);n;moving;move_forward
6;6;None;s;waiting;wait
7;6;None;w;waiting;wait
8;6;None;w;waiting;wait
9;6;None;n;waiting;wait
0;7;(11, 12);e;moving;move_forward
1;7;None;n;waiting;wait
2;7;None;s;waiting;wait
3;7;(5, 23);e;moving;move_forward
4;7;None;n;waiting;wait
5;7;(11, 14);e;moving;move_forward
6;7;None;s;waiting;wait
7;7;None;w;waiting;wait
8;7;None;w;waiting;wait
9;7;None;n;waiting;wait
0;8;(11, 13);e;moving;move_forward
1;8;None;n;waiting;wait
2;8;None;s;waiting;wait
3;8;(5, 24);e;moving;move_forward
4;8;None;n;waiting;wait
5;8;(11, 15);e;moving;move_forward
6;8;None;s;waiting;wait
7;8;None;w;waiting;wait
8;8;None;w;waiting;wait
9;8;None;n;waiting;wait
0;9;(11, 14);e;moving;move_forward
1;9;None;n;waiting;wait
2;9;None;s;waiting;wait
3;9;(6, 24);s;moving;move_forward
4;9;None;n;waiting;wait
5;9;(11, 16);e;moving;move_forward
6;9;None;s;waiting;wait
7;9;None;w;waiting;wait
8;9;None;w;waiting;wait
9;9;None;n;waiting;wait
0;10;(11, 15);e;moving;move_left
1;10;None;n;waiting;wait
2;10;None;s;waiting;wait
3;10;(7, 24);s;moving;move_forward
4;10;None;n;waiting;wait
5;10;(10, 16);n;moving;move_forward
6;10;None;s;waiting;wait
7;10;None;w;waiting;wait
8;10;None;w;waiting;wait
9;10;None;n;waiting;wait
0;11;(10, 15);n;moving;move_forward
1;11;None;n;waiting;wait
2;11;None;s;waiting;wait
3;11;(8, 24);s;moving;move_forward
4;11;None;n;waiting;wait
5;11;(9, 16);n;moving;move_forward
6;11;None;s;waiting;wait
7;11;None;w;waiting;wait
8;11;None;w;waiting;wait
9;11;None;n;waiting;wait
0;12;(9, 15);n;moving;move_forward
1;12;None;n;waiting;wait
2;12;None;s;waiting;wait
3;12;(9, 24);s;moving;move_forward
4;12;None;n;waiting;wait
5;12;(8, 16);n;moving;move_forward
6;12;None;s;waiting;wait
7;12;None;w;waiting;wait
8;12;None;w;waiting;wait
9;12;None;n;waiting;wait
0;13;(8, 15);n;moving;move_forward
1;13;None;n;waiting;wait
2;13;None;s;waiting;wait
3;13;(9, 23);w;moving;move_forward
4;13;None;n;waiting;wait
5;13;(7, 16);n;moving;move_forward
6;13;None;s;waiting;wait
7;13;None;w;waiting;wait
8;13;None;w;waiting;wait
9;13;None;n;waiting;wait
0;14;(7, 15);n;moving;move_forward
1;14;None;n;waiting;wait
2;14;None;s;waiting;wait
3;14;(9, 22);w;moving;move_forward
4;14;None;n;waiting;wait
5;14;(6, 16);n;moving;move_forward
6;14;None;s;waiting;wait
7;14;None;w;waiting;wait
8;14;None;w;waiting;wait
9;14;None;n;waiting;wait
0;15;(6, 15);n;moving;move_forward
1;15;None;n;waiting;wait
2;15;None;s;waiting;wait
3;15;(10, 22);s;moving;move_forward
4;15;None;n;waiting;wait
5;15;(5, 16);n;moving;move_forward
6;15;None;s;ready to depart;move_forward
7;15;None;w;waiting;wait
8;15;None;w;ready to depart;move_forward
9;15;None;n;waiting;wait
0;16;(5, 15);n;moving;wait
1;16;None;n;waiting;wait
2;16;None;s;waiting;wait
3;16;(11, 22);s;moving;move_forward
4;16;None;n;waiting;wait
5;16;(5, 17);e;moving;move_forward
6;16;(18, 22);s;moving;move_forward
7;16;None;w;waiting;wait
8;16;(5, 20);w;moving;move_forward
9;16;None;n;waiting;wait
0;17;(5, 15);n;stopped;wait
1;17;None;n;waiting;wait
2;17;None;s;waiting;wait
3;17;(12, 22);s;moving;move_forward
4;17;None;n;waiting;wait
5;17;(5, 18);e;moving;move_right
6;17;(19, 22);s;moving;move_forward
7;17;None;w;waiting;wait
8;17;(5, 19);w;moving;wait
9;17;None;n;waiting;wait
0;18;(5, 15);n;stopped;wait
1;18;None;n;waiting;wait
2;18;None;s;waiting;wait
3;18;(13, 22);s;moving;move_forward
4;18;None;n;waiting;wait
5;18;(6, 18);s;moving;move_forward
6;18;(20, 22);s;moving;move_forward
7;18;None;w;waiting;wait
8;18;(5, 19);w;stopped;wait
9;18;None;n;waiting;wait
0;19;(5, 15);n;stopped;wait
1;19;None;n;waiting;wait
2;19;None;s;waiting;wait
3;19;(14, 22);s;moving;move_forward
4;19;None;n;waiting;wait
5;19;(6, 19);e;moving;move_forward
6;19;(21, 22);s;moving;move_forward
7;19;None;w;waiting;wait
8;19;(5, 19);w;stopped;wait
9;19;None;n;waiting;wait
0;20;(5, 15);n;stopped;wait
1;20;None;n;waiting;wait
2;20;None;s;waiting;wait
3;20;(15, 22);s;moving;move_forward
4;20;None;n;waiting;wait
5;20;(6, 20);e;moving;move_forward
6;20;(22, 22);s;moving;move_right
7;20;None;w;waiting;wait
8;20;(5, 19);w;stopped;wait
9;20;None;n;waiting;wait
0;21;(5, 15);n;stopped;wait
1;21;None;n;waiting;wait
2;21;None;s;waiting;wait
3;21;(16, 22);s;moving;move_left
4;21;None;n;waiting;wait
5;21;(6, 21);e;moving;move_forward
6;21;(22, 21);w;moving;move_forward
7;21;None;w;waiting;wait
8;21;(5, 19);w;stopped;wait
9;21;None;n;waiting;wait
0;22;(5, 15);n;stopped;wait
1;22;None;n;waiting;wait
2;22;None;s;waiting;wait
3;22;(16, 23);e;moving;move_forward
4;22;None;n;waiting;wait
5;22;(6, 22);e;moving;move_forward
6;22;(22, 20);w;moving;move_forward
7;22;None;w;waiting;wait
8;22;(5, 19);w;stopped;wait
9;22;None;n;waiting;wait
0;23;(5, 15);n;stopped;wait
1;23;None;n;waiting;wait
2;23;None;s;waiting;wait
3;23;(17, 23);s;moving;move_forward
4;23;None;n;waiting;wait
5;23;(5, 22);n;moving;move_forward
6;23;(22, 19);w;moving;move_forward
7;23;None;w;waiting;wait
8;23;(5, 19);w;stopped;wait
9;23;None;n;ready to depart;move_forward
0;24;(5, 15);n;stopped;wait
1;24;None;n;waiting;wait
2;24;None;s;waiting;wait
3;24;(18, 23);s;moving;move_forward
4;24;None;n;waiting;wait
5;24;(5, 23);e;moving;move_forward
6;24;(22, 18);w;moving;move_forward
7;24;None;w;waiting;wait
8;24;(5, 19);w;stopped;wait
9;24;(18, 22);n;moving;move_forward
0;25;(5, 15);n;stopped;wait
1;25;None;n;waiting;wait
2;25;None;s;ready to depart;move_forward
3;25;(19, 23);s;moving;move_forward
4;25;None;n;waiting;wait
5;25;(5, 24);e;moving;move_forward
6;25;(22, 17);w;moving;move_forward
7;25;None;w;waiting;wait
8;25;(5, 19);w;stopped;wait
9;25;(17, 22);n;moving;move_forward
0;26;(5, 15);n;stopped;wait
1;26;None;n;waiting;wait
2;26;(25, 9);s;moving;move_forward
3;26;(20, 23);s;moving;wait
4;26;None;n;waiting;wait
5;26;(6, 24);s;moving;move_forward
6;26;(22, 16);w;moving;move_forward
7;26;None;w;waiting;wait
8;26;(5, 19);w;stopped;wait
9;26;(16, 22);n;moving;move_forward
0;27;(5, 15);n;stopped;wait
1;27;None;n;waiting;wait
2;27;(26, 9);s;moving;move_forward
3;27;(20, 23);s;stopped;wait
4;27;None;n;waiting;wait
5;27;(7, 24);s;moving;move_forward
6;27;(22, 15);w;moving;move_forward
7;27;None;w;waiting;wait
8;27;(5, 19);w;stopped;wait
9;27;(15, 22);n;moving;move_forward
0;28;(5, 15);n;stopped;wait
1;28;None;n;waiting;wait
2;28;(27, 9);s;moving;move_forward
3;28;(20, 23);s;stopped;wait
4;28;None;n;waiting;wait
5;28;(8, 24);s;moving;move_forward
6;28;(21, 15);n;moving;move_forward
7;28;None;w;waiting;wait
8;28;(5, 19);w;stopped;wait
9;28;(14, 22);n;moving;move_right
0;29;(5, 15);n;stopped;wait
1;29;None;n;waiting;wait
2;29;(28, 9);s;moving;move_forward
3;29;(20, 23);s;stopped;wait
4;29;None;n;waiting;wait
5;29;(9, 24);s;moving;move_forward
6;29;(20, 15);n;moving;move_forward
7;29;None;w;waiting;wait
8;29;(5, 19);w;stopped;wait
9;29;(14, 23);e;moving;move_forward
0;30;(5, 15);n;stopped;wait
1;30;None;n;waiting;wait
2;30;(29, 9);s;moving;move_forward
3;30;(20, 23);s;stopped;wait
4;30;None;n;waiting;wait
5;30;(9, 23);w;moving;move_forward
6;30;(19, 15);n;moving;move_forward
7;30;None;w;waiting;wait
8;30;(5, 19);w;stopped;wait
